age,gender,height_cm,weight_kg,activity_type,duration_minutes,intensity,calories_burned,avg_heart_rate,hours_sleep,stress_level,daily_steps,hydration_level,bmi,fitness_level
58,F,160.4,99.2,Swimming,67,Medium,15.5,113,8.6,1,8754,1.6,23.7,11.93
34,F,173.8,95.4,Weight Training,100,High,22.2,155,6.5,6,6134,1.9,18.2,12.18
50,F,159.8,89.3,Running,104,Medium,30.2,131,8.0,6,13286,2.4,23.9,8.49
57,F,165.4,112.2,Cycling,110,Medium,34.9,125,6.9,4,7619,3.5,22.5,15.31
41,M,169.1,67.5,Cycling,115,Medium,21.9,135,7.1,8,11028,3.2,22.0,1.42
37,F,165.8,70.2,Yoga,20,Medium,1.4,147,7.3,4,7007,3.2,24.0,1.13
53,F,154.9,70.3,HIIT,111,Medium,31.1,134,6.1,3,6289,1.8,18.8,9.06
63,Other,161.0,81.0,Swimming,51,Low,8.0,104,7.6,8,7307,2.4,20.4,8.73
27,F,157.9,80.7,Walking,54,Low,4.6,129,6.6,4,13469,2.8,27.5,3.61
63,F,160.9,101.8,Swimming,45,High,12.4,144,7.0,6,6869,3.1,20.1,15.99
40,M,174.7,102.4,Cycling,104,Low,25.1,108,6.8,8,6547,2.7,22.8,10.69
21,F,162.7,58.5,Basketball,54,Low,7.0,127,6.2,10,10973,2.1,17.0,4.27
57,M,170.7,125.6,Running,101,Low,34.5,109,8.2,2,9767,2.9,27.6,14.13
26,F,152.9,54.3,Swimming,52,Low,5.5,124,6.2,7,9823,2.9,19.3,2.97
21,F,150.3,90.4,Dancing,72,Medium,11.9,145,6.3,9,10358,2.5,19.9,14.58
53,F,174.2,81.5,Dancing,92,Low,11.4,107,6.4,3,10785,3.0,23.6,3.35
51,M,176.6,81.9,Cycling,40,High,10.8,136,8.0,5,9293,2.9,24.4,1.89
45,M,180.1,125.0,Dancing,80,Medium,18.3,146,8.6,3,6339,2.6,24.0,14.65
58,F,180.3,124.0,Running,90,High,42.4,126,6.8,7,7901,2.9,23.2,16.43
64,M,182.9,102.2,HIIT,64,Medium,26.1,115,5.9,3,9931,2.0,26.0,4.95
31,F,154.6,99.8,HIIT,44,Medium,17.5,152,6.1,8,7354,3.4,18.8,17.13
60,M,172.5,108.1,Basketball,110,Medium,31.6,119,7.2,7,10230,2.9,26.9,8.69
43,M,175.0,111.4,Basketball,75,Medium,22.2,120,6.9,2,9674,2.9,26.1,10.14
48,F,180.2,108.5,Tennis,41,High,12.6,144,6.1,10,9466,3.1,23.8,10.4
54,M,161.2,92.7,Dancing,88,Low,12.4,99,7.5,10,8555,2.0,27.7,6.54
29,F,175.6,76.1,Basketball,29,Low,4.9,132,8.5,7,12786,2.9,24.0,0.72
35,F,163.6,102.4,Cycling,100,Low,24.1,113,5.6,6,7667,2.4,24.1,12.06
51,F,166.2,107.6,Yoga,53,Medium,5.7,118,7.9,1,6238,1.6,22.4,13.91
37,M,182.5,87.5,Tennis,109,Low,19.3,114,6.8,8,9896,1.8,24.4,1.81
47,M,184.2,99.2,Walking,33,Low,3.4,114,6.8,3,9360,2.4,27.5,1.75
46,F,168.5,63.9,Yoga,44,High,3.3,140,6.8,1,5866,2.0,18.9,3.13
49,M,175.4,100.0,Cycling,107,Medium,30.2,132,6.8,3,9329,2.8,25.3,7.42
48,F,156.8,84.8,HIIT,22,Medium,7.4,132,7.6,6,11360,1.6,26.2,6.25
38,F,161.3,77.0,Swimming,38,Medium,6.8,137,8.2,4,7517,2.7,23.2,5.31
47,F,154.0,87.7,Yoga,119,Low,8.7,113,5.9,4,8423,3.2,23.3,10.59
55,M,173.8,82.1,Basketball,84,Medium,18.3,126,8.0,3,11466,3.3,21.5,5.52
21,M,173.0,114.8,Swimming,55,Medium,14.7,144,6.8,2,7614,2.3,22.5,15.66
45,M,183.0,94.7,Walking,53,Low,5.3,132,7.9,5,9966,2.1,25.3,3.0
35,M,173.9,82.9,Running,47,Medium,12.7,138,6.4,10,8675,3.3,22.5,4.66
48,F,180.2,87.7,Tennis,65,Low,11.5,105,6.1,6,9475,2.3,23.8,3.22
59,F,153.6,96.2,Basketball,115,Medium,29.4,115,8.9,7,8270,3.1,19.1,16.17
51,M,176.2,100.1,Dancing,24,Medium,4.4,141,7.5,5,9005,1.5,26.2,6.4
51,F,162.0,124.9,Cycling,47,Medium,16.6,114,7.5,3,5738,3.0,25.3,19.33
57,F,158.5,85.3,Running,47,Medium,13.1,114,7.0,9,11497,3.1,23.1,8.71
64,M,180.8,109.4,HIIT,110,Low,40.0,92,5.4,8,9331,2.5,25.8,8.09
33,F,157.1,113.3,Weight Training,34,Medium,7.7,166,6.2,8,6310,3.4,23.2,17.22
41,M,170.4,93.8,Running,83,Medium,25.4,123,7.3,4,8872,3.0,24.3,7.36
47,M,176.4,72.0,HIIT,67,Low,16.0,111,7.1,10,10856,2.4,23.1,0.07
52,M,179.2,115.9,Running,70,Low,22.0,105,7.2,10,7489,3.1,19.1,17.28
56,M,175.4,63.4,Running,70,High,16.9,145,6.3,2,10091,2.8,16.2,4.22
45,F,156.4,109.7,Running,99,Low,29.5,119,6.7,6,9080,1.9,21.7,18.5
24,M,179.6,103.8,Swimming,55,Low,11.1,119,7.3,10,10549,2.3,27.8,4.25
20,F,165.8,108.6,HIIT,28,High,14.2,175,7.0,5,6494,3.4,22.8,14.28
48,M,182.2,122.6,HIIT,106,Low,43.2,111,5.8,4,8555,1.9,21.9,16.1
58,F,150.9,89.9,Basketball,22,Low,4.4,105,8.7,5,7833,1.6,20.0,14.68
63,M,168.0,89.8,Cycling,111,High,32.8,140,6.4,9,4588,3.3,17.7,12.83
32,M,177.7,85.4,Cycling,59,Low,11.9,126,6.5,3,6400,2.8,26.2,0.86
60,M,173.9,82.5,Basketball,110,High,28.1,124,6.6,3,9969,1.8,24.1,3.31
24,M,179.6,133.1,Cycling,105,Low,32.9,128,7.7,9,6036,2.2,27.8,13.35
37,M,165.6,130.7,Weight Training,52,Low,11.3,114,6.4,3,7476,2.4,27.3,18.18
47,M,169.8,70.1,Tennis,116,Low,16.4,113,7.5,1,8860,2.5,22.6,1.52
29,M,172.6,71.0,Weight Training,97,Medium,13.7,119,8.6,10,13743,1.8,17.8,5.46
27,F,178.7,101.2,Swimming,116,Medium,27.3,152,6.7,7,7782,3.1,19.3,12.18
59,M,179.0,111.8,Yoga,100,High,13.0,131,6.4,9,9685,3.4,27.1,8.48
39,F,163.6,94.7,Cycling,61,Medium,16.3,142,7.8,7,8904,2.7,20.5,12.53
63,F,164.3,64.8,Cycling,86,Low,13.1,101,7.8,2,8657,2.3,17.1,5.81
46,M,178.4,125.3,Walking,46,Low,6.1,116,8.2,10,5267,2.5,27.7,11.66
23,M,155.0,84.9,Swimming,72,Low,11.9,127,7.1,9,8759,2.0,27.1,6.65
51,M,180.0,122.9,HIIT,24,High,13.7,162,7.9,6,5007,2.1,21.2,17.15
39,F,165.4,74.1,HIIT,110,High,37.9,145,5.7,1,11206,2.2,26.9,0.21
36,M,170.4,91.8,Dancing,107,Low,15.0,132,6.7,2,11448,2.4,21.3,10.15
46,M,186.3,62.2,Running,89,Medium,18.0,130,6.5,3,6805,1.7,17.3,0.73
35,F,156.8,112.6,Cycling,32,Low,8.5,117,7.5,1,6767,3.4,22.8,17.48
63,M,166.8,86.1,Dancing,119,Medium,18.7,123,7.7,5,7750,2.5,18.4,11.31
45,F,166.4,75.7,Dancing,63,High,10.2,148,6.9,10,13830,2.5,20.6,5.66
51,F,161.6,103.6,Cycling,61,Low,14.9,106,5.5,6,5767,2.3,22.4,14.52
